80	80
bliain	bliain
ó	ó
shin	shin
chonaic	chonaic
go	go
leor	leor
Éireannach	Éireannach
an	an
chaoi	chaoi
a	a
chaith	chaith
na	na
Faisistigh	Faisistigh
leis	leis
an	an
daonláthas	daonlathas
sa	sa
Spáinn	Spáinn
.	.
Tá	Tá
Éire	Éire
…	…
<URL>	<URL>
\n	\n
<USER>	<USER>
<USER>	<USER>
Shamhlóinn	Shamhlóinn
gur	gur
lú	lú
dochar	dochar
a	a
dhéanfadh	dhéanfadh
ríomhaire	ríomhaire
ná	ná
cuid	cuid
mór	mór
príomhfheidhmeannach	príomhfheidhmeannach
daonna	daonna
.	.
.	.
.	.
.	.
\n	\n
Tá	Tá
go	go
dtí	dtí
an	an
5.00	5.00
i	i
.	.
n	n
inniu	inniu
ag	ag
daoine	daoine
le	le
suim	suim
sa	sa
Bhaitsiléir	Bhaitsiléir
san	san
Oideachas	Oideachas
Trí	Trí
Mheán	Mheán
na	na
Gaeilge	Gaeilge
clárú	clárú
don	don
Scrúdú	Scrúdú
TEG	TEG
Meánleibhéal	Meánleibhéal
1	1
(	(
B1	B1
)	)
.	.
Téigh	Téigh
chuig	chuig
<URL>	<URL>
chun	chun
clárú	clárú
.	.
Bígí	Bígí
linn	linn
in	in
IOM	IOM
!	!
🍎	🍎
📚	📚
🎓	🎓
🤩	🤩
👩🏼‍🏫	👩🏼‍🏫
<HASHTAG>	<HASHTAG>
<HASHTAG>	<HASHTAG>
<URL>	<URL>
\n	\n
Plé	Plé
i	i
nGaeilge	nGaeilge
ar	ar
ábhar	ábhar
na	na
tithíochta	tithíochta
phoiblí	phoiblí
an	an
Aoine	Aoine
beag	beag
seo	seo
i	i
mBÁC	mBÁC
!	!
-	-
-	-
-	-
-	-
-	-
Discussion	discussion
in	in
Irish	Irish
on	on
public	public
.	.
.	.
.	.
<URL>	<URL>
\n	\n
Bhí	Bhí
ana-lá	ana-lá
agam	agam
ag	ag
<HASHTAG>	<HASHTAG>
Talamh	Talamh
bhreá	bhreá
<URL>	<URL>
\n	\n
<USER>	<USER>
<USER>	<USER>
""""	""""
foréigean	foréigean
poiblí	poiblí
""""	""""
nó	nó
""""	""""
níl	níl
mé	mé
ina	ina
fhabhar	fhabhar
,	,
go	go
poiblí	poiblí
""""	""""
(	(
Bainfear	Bainfear
casadh	casadh
chun	chun
d'aimhleasa	d'aimhleasa
as	as
gach	gach
a	a
deir	deir
tú	tú
.	.
.	.
.	.
.	.
)	)
\n	\n
Check	Check
amach	amach
Físeán	Físeán
T-Rex	T-Rex
Ó	Ó
Saurus's	Saurus's
!	!
<HASHTAG>	<HASHTAG>
<URL>	<URL>
<HASHTAG>	<HASHTAG>
<HASHTAG>	<HASHTAG>
\n	\n
<USER>	<USER>
Agus	Agus
tá	tá
mise	mise
ag	ag
fáil	fáil
cuireadh	cuireadh
chum	chum
do	do
chuid	chuid
teachtaireachtaí	teachtaireachtaí
a	a
aistriú	aistriú
ón	ón
Slovenian	Slovenia
.	.
.	.
.	.
<URL>	<URL>
\n	\n
Bígí	Bígí
linn	linn
ar	ar
<USER>	<USER>
don	don
chéad	chéad
radharc	radharc
ar	ar
<USER>	<USER>
sa	sa
<USER>	<USER>
beo	beo
ón	ón
Sportsground	Sportsground
ag	ag
19:15	19:15
…	…
<URL>	<URL>
\n	\n
Thár	Thír
n-ais	n-ais
arís	arís
!	!
Buíochas	Buíochas
libh	libh
!	!
😇	😇
\n	\n
<USER>	<USER>
Faraor	Faraor
tá	tá
Anglo-centrism	Anglo-centrism
beo	beo
i	i
measc	measc
staraí	staraí
na	na
hÉireann	hÉireann
\n	\n
<USER>	<USER>
Aaon	aon
scéal	scéal
faoi	faoi
Cluiche	Cluiche
Ceannais	Ceannais
?	?
<HASHTAG>	<HASHTAG>
<HASHTAG>	<HASHTAG>
\n	\n
Tá	Tá
muid	muid
uilig	uilig
ag	ag
giolcaireacht	giolcaireacht
anois	anois
.	.
;)	;)
<HASHTAG>	<HASHTAG>
<URL>	<URL>
\n	\n
<USER>	<USER>
An	An
mbeidh	mbeidh
an	an
cruinniú	cruinniú
amárach	amárach
nóó	nóó
an	an
mbeidh	mbeidh
orainn	orainn
fanacht	fanacht
thar	thar
